name,local_path,beauty_raw,status,beauty_1to5,department,avg_rating,avg_difficulty,would_take_again_percent,school_name
Zune Nguyen,Zune Nguyen.jpg,36.30681229,ok,4.11,Engineering,5,2.2,100,USC
Zahra  Mohaghegh,Zahra_Mohaghegh.jpg,34.97524643,ok,3.93,"Nuclear, Plasma, & Radiological Engineering",3.6,3.1,62.5,UIUC
Zach Huffman,Zach_Huffman.jpg,48.54005051,ok,4.84,Engineering,5,3,100,UIUC
Yuting Wu Chen,Yuting_Wu_Chen.jpg,28.49741554,ok,2.43,Electrical & Computer Engineering,4.5,3.1,95.5,UIUC
Yue Zhao,Yue Zhao.png,33.653862,ok,3.6,Computer Science,4.4,2.5,87.5,USC
Yuanhui  Zhang,Yuanhui_Zhang.jpg,35.35049438,ok,4.02,Engineering,4,2,-1,UIUC
Yousef Bozorgnia,Yousef Bozorgnia.jpg,32.38372421,ok,4.64,Engineering,3,3.5,50,UCLA
Yoram Bresler,Yoram_Bresler.jpg,34.63006973,ok,3.87,Engineering,4,4.2,100,UIUC
Yong Chen,Yong Chen_2.jpg,18.71413231,ok,1.01,Engineering,4.9,2.8,100,USC
Yonatan Frederick Kahn,Yonatan_Frederick_Kahn.jpg,32.94054794,ok,3.61,Physics,5,4,100,UIUC
Yih-Chun  Hu,Yih-Chun_Hu.jpg,28.13572693,ok,2.27,Engineering,3.5,3.5,60,UIUC
Yigal Arens,Yigal Arens.jpg,34.17201614,ok,3.72,Industrial & Systems Engineering,5,2,100,USC
Yasser Khan,Yasser Khan.jpg,25.13904953,ok,1.83,Engineering,4.4,2,87.5,USC
Yann Daniel Hilde Staelens,Yann Daniel Hilde Staelens.jpg,21.0940094,ok,1.25,Engineering,3.3,3.5,50,USC
Yann Chemla,Yann_Chemla.jpg,48.50035477,ok,4.82,Physics,3,3.7,0,UIUC
Yang Liu,Yang_Liu.jpg,18.26180267,ok,1,Bioengineering,1,5,0,UIUC
Yan Liu,Yan Liu.jpg,18.84321594,ok,1.03,Computer Science,2,3.8,20,USC
Yan Jin,Yan Jin.jpg,26.59062386,ok,2.09,Engineering,3.2,3.1,50,USC
Yalda Khashe,Yalda Khashe.jpg,32.6511116,ok,3.29,Engineering,3.7,2.3,71.4,USC
Xu  Chen,Xu_Chen.jpg,26.24171066,ok,1.76,Electrical & Computer Engineering,4.9,3.2,100,UIUC
Xiao  Su,Xiao_Su.jpg,28.94797325,ok,2.55,Engineering,3,4,50,UIUC
William S. Hammack,William_S._Hammack.jpg,30.51514435,ok,2.99,Engineering,3.7,2.6,50,UIUC
William G.J. Halfond,William G.J. Halfond.jpg,27.0955677,ok,2.21,Computer Science,2.5,4,36,USC
William Crowe,William_Crowe.jpg,26.85207176,ok,3,Engineering,5,4.3,100,WFU
Wenzhen Yuan,Wenzhen_Yuan.jpg,25.34357071,ok,1.58,Engineering,3.3,2.8,75,UIUC
Wensheng Wu,Wensheng Wu.jpg,45.03213882,ok,4.77,Computer Science,1.8,4,16.5,USC
Wen-mei  Hwu,Wen-mei_Hwu.jpg,28.30290413,ok,2.31,Engineering,5,2.9,100,UIUC
Weng Chew,Weng_Chew.jpg,26.16705132,ok,1.72,Engineering,3.9,3.7,0,UIUC
Wei Wang,Wei Wang.png,27.21080589,ok,2.64,Engineering,1.5,4,0,UCLA
Wayne  Chang,Wayne_Chang.jpg,26.76885033,ok,1.9,Engineering,3.6,3.5,69.6,UIUC
Wawrzyniec  Dobrucki,Wawrzyniec_Dobrucki.jpg,42.88864517,ok,4.72,Bioengineering,4.5,2.5,100,UIUC
Wade Zeno,Wade Zeno.jpg,45.3265686,ok,4.78,Engineering,3.8,2.8,60,USC
Volodymyr  Kindratenko,Volodymyr_Kindratenko.jpg,50.72185516,ok,4.88,Engineering,4.6,3.2,95.7,UIUC
Virgil Adumitroaie,Virgil Adumitroaie.jpg,27.07130814,ok,2.2,Engineering,3.5,3.2,100,USC
Vincent W Lee,Vincent W Lee.jpg,48.25793839,ok,4.82,Engineering,1.7,3.8,23.5,USC
Vinay Goyal,Vinay Goyal.jpeg,26.09004784,ok,2.02,Engineering,5,3.2,100,USC
Viktor K. Prasanna,Viktor K. Prasanna.jpg,27.04150772,ok,2.18,Engineering,2.6,4,40,USC
Vidya  Madhavan,Vidya_Madhavan.jpg,35.77127457,ok,4.12,Physics,2.4,4.3,28.6,UIUC
Victoria Stodden,Victoria Stodden.jpeg,35.26453018,ok,3.96,Engineering,1.8,4.6,11.1,USC
Victoria Shao,Victoria_Shao.jpg,23.89868164,ok,1.26,Electrical & Computer Engineering,4.4,3.1,87.5,UIUC
Victoria Coverstone,Victoria_Coverstone.jpg,38.16342545,ok,4.48,Engineering,4.8,2.5,-1,UIUC
Victor Adamchik,Victor Adamchik.jpg,32.95451736,ok,3.39,Computer Science,2.2,3.9,27.1,USC
Vatsal Sharan,Vatsal Sharan.jpg,33.14997101,ok,3.5,Computer Science,4.7,4.3,83.3,USC
Vasilis Marmarelis,Vasilis Marmarelis.jpg,29.31286621,ok,2.78,Engineering,5,4,100,USC
Vasilios Manousiouthakis,Vasilios Manousiouthakis.jpg,32.31998062,ok,4.45,Engineering,2.5,5,-1,UCLA
Urbashi Mitra,Urbashi Mitra.jpg,21.37182999,ok,1.31,Engineering,2,4.3,25,USC
Umberto  Ravaioli,Umberto_Ravaioli.jpg,26.41889954,ok,1.84,Engineering,4.5,2.2,90.9,UIUC
Travis  Johnson,Travis_Johnson.jpg,27.38007355,ok,2.07,Engineering,5,2,100,UIUC
Tony Levi,Tony Levi.jpg,31.19144821,ok,3.07,Engineering,3,5,0,USC
Tony E. Grift,Tony_E._Grift.jpg,34.76676941,ok,3.91,Engineering,2.7,3.2,100,UIUC
Tomasz  Kozlowski,Tomasz_Kozlowski.jpg,35.1948967,ok,3.97,Engineering,3,3.7,37.5,UIUC
Tom Golecki,Tom_Golecki.jpg,42.22632217,ok,4.68,Engineering,3.9,3.1,82.4,UIUC
Todd Andrew Brun,Todd Andrew Brun.jpg,21.5937767,ok,1.36,Engineering,2.9,3.7,42.9,USC
Ting  Lu,Ting_Lu.jpg,39.0201149,ok,4.56,Bioengineering,3,3,100,UIUC
Timothy Li,Timothy Li.jpg,33.53537369,ok,3.57,Engineering,3.7,1.7,66.7,USC
Thomas C Booth,Thomas C Booth.jpg,24.0037384,ok,1.61,Engineering,4.3,3,66.7,USC
Thomas  Gaj,Thomas_Gaj.jpg,31.97660255,ok,3.41,Bioengineering,1.5,4.3,33.3,UIUC
Thomas  Faulkner,Thomas_Faulkner.jpg,26.93520164,ok,1.98,Physics,2.4,2.8,40,UIUC
Theresa Ann Saxton-Fox,Theresa_Ann_Saxton-Fox.jpg,28.07621002,ok,2.23,Engineering,1,3,0,UIUC
Theodore Ken Mayeshiba,Theodore Ken Mayeshiba.jpg,21.84766006,ok,1.38,Engineering,5,3,100,USC
Taylor L. Hughes,Taylor_L._Hughes.jpg,26.50322533,ok,1.88,Physics,5,3.5,-1,UIUC
Tatyana Ryutov,Tatyana Ryutov.jpg,24.7830162,ok,1.77,Computer Science,2,3.9,22.6,USC
Tao Ma,Tao Ma.jpg,33.87015915,ok,3.63,Engineering,4.4,3.2,81.8,USC
Tamer Basar,Tamer_Basar.jpg,31.27664185,ok,3.21,Engineering,1,5,0,UIUC
Sze-chuan Suen,Sze-chuan Suen.png,21.16047668,ok,1.26,Engineering,2.8,4.3,50,USC
Syed Bahauddin Alam,Syed_Bahauddin_Alam.jpg,21.08393097,ok,1.06,"Nuclear, Plasma, & Radiological Engineering",1.3,2.7,0,UIUC
Swabha Swayamdipta,Swabha Swayamdipta.png,35.701828,ok,4.02,Computer Science,3,3.7,52.2,USC
Sven Koenig,Sven Koenig.jpg,24.3682785,ok,1.69,Computer Science,3.4,3.6,40,USC
Suvrajeet Sen,Suvrajeet Sen.jpg,33.06809998,ok,3.44,Engineering,2.2,3.4,0,USC
Susan Leggett,Susan_Leggett.jpg,28.79137421,ok,2.49,Bioengineering,1.3,3,33.3,UIUC
Steven R. Hall,Steven R. Hall.jpg,39.03867722,ok,4.54,Engineering,1,4,0,MIT
Steven Leeb,Steven Leeb.jpg,32.65276718,ok,3.46,Engineering,5,3.8,100,MIT
Steve R. Nutt,Steve R. Nutt.jpg,27.31336403,ok,2.27,Engineering,1.7,4.1,25,USC
Stephen Chih-Yang Lu,Stephen Chih-Yang Lu.jpg,35.00906754,ok,3.91,Engineering,1.2,4.2,0,USC
Stephen Burke Cronin,Stephen Burke Cronin.jpg,39.10723114,ok,4.45,Engineering,3.5,2.7,85.7,USC
