name,school_name,local_path,beauty_raw,status,beauty_1to5,department,avg_rating,avg_difficulty,would_take_again_percent,age_pred,phd_year,bachelor_year,gender_pred,analyze_status,age_lower_bound,age_final
Ali Ansari,UIUC,Ali_Ansari.jpg,54.66853714,ok,4.911242604,Engineering,5,1.9,100,27,2018,,Man,ok,34,34
Ashutosh Nayyar,USC,Ashutosh Nayyar.jpg,19.4212532,ok,0.086206897,Engineering,3.6,3.6,66.7,24,2011,,Man,ok,41,41
Bora Gencturk,USC,Bora Gencturk.jpeg,30.82476425,ok,2.392241379,Engineering,4,1.8,75,27,2011,,Man,ok,41,41
Brandon Franzke,USC,Brandon Franzke.jpeg,35.06476593,ok,3.685344828,Engineering,2.2,4.1,22.4,22,2015,,Man,ok,37,37
Brittany Kay,USC,Brittany Kay.png,31.09229469,ok,2.5,Engineering,4.5,2.9,70,27,2012,,Woman,ok,40,40
Christopher Torng,USC,Christopher Torng.jpeg,38.26299667,ok,4.202586207,Engineering,1,2,0,25,2019,,Man,ok,33,33
Clark Michael Kromenaker,USC,Clark Michael Kromenaker.jpg,42.74194336,ok,4.547413793,Engineering,5,2.6,100,27,,2011,Man,ok,36,36
Constantine Sideris,USC,Constantine Sideris.jpeg,27.9765625,ok,1.745689655,Engineering,3.1,4,57.1,26,2017,,Man,ok,35,35
Daniel Druhora,USC,Daniel Druhora.jpg,32.8327446,ok,2.931034483,Engineering,5,3,100,24,,2007,Man,ok,40,40
Daniel Seita,USC,Daniel Seita.png,29.16593552,ok,2.112068966,Computer Science,4.2,3,80,24,2021,,Man,ok,31,31
David Lazzara,USC,David Lazzara.jpg,34.33094406,ok,3.448275862,Engineering,1,5,0,24,2012,,Man,ok,40,40
Gaurav Sant,UCLA,Gaurav Sant.png,20.7285614,ok,0.217391304,Engineering,1,1,0,26,2009,,Man,ok,43,43
Haipeng Luo,USC,Haipeng Luo.jpg,29.46871567,ok,2.219827586,Computer Science,3.6,4.4,66.7,26,2016,,Man,ok,36,36
Harsha V. Madhyastha,USC,Harsha V. Madhyastha.jpg,43.73551178,ok,4.590517241,Computer Science,4,4.5,75,27,2008,,Man,ok,44,44
Holly McIlwee Golecki,UIUC,Holly_McIlwee_Golecki.jpg,27.42194557,ok,1.272189349,Bioengineering,1.7,4,0,26,2018,,Woman,ok,34,34
John Gunnar Carlsson,USC,John Gunnar Carlsson.jpg,24.18628311,ok,0.775862069,Engineering,5,2.3,100,23,2009,,Man,ok,43,43
Justin P. Haldar,USC,Justin P. Haldar.jpg,18.87044144,ok,0.043103448,Engineering,4.4,4,85.7,27,2011,,Man,ok,41,41
Kelly Sanders,USC,Kelly Sanders.jpg,18.51779747,ok,0.111111111,Engineering,4.3,2.8,81.8,27,2013,,Woman,ok,39,39
Keyue Shen,USC,Keyue Shen.jpg,53.70256805,ok,4.870689655,Engineering,4,3.5,50,26,2010,,Man,ok,42,42
Lili  Cai,UIUC,Lili_Cai.jpg,25.89378929,ok,0.73964497,Engineering,3.7,2.3,66.7,25,2016,,Woman,ok,36,36
Maryam Shanechi,USC,Maryam Shanechi.jpg,52.06173325,ok,4.777777778,Engineering,4.3,4.3,100,25,2011,,Woman,ok,41,41
Matthew Whiting,USC,Matthew Whiting.jpg,34.74132538,ok,3.512931034,Computer Science,4.7,3.4,94.4,25,,1991,Man,ok,56,56
Megan McCain,USC,Megan McCain.jpg,29.20301437,ok,2.333333333,Engineering,4.8,3.3,100,24,2012,,Woman,ok,40,40
Oded Stein,USC,Oded Stein.png,37.28596115,ok,4.00862069,Computer Science,4.4,3.6,80,22,2020,,Man,ok,32,32
Panagiotis Christofides,UCLA,Panagiotis Christofides.jpg,24.43902588,ok,0.652173913,Engineering,5,1.5,100,22,1996,,Man,ok,56,56
Peter Adshead,UIUC,Peter_Adshead.jpg,25.97896576,ok,0.769230769,Physics,3.9,2.9,87.5,26,2010,,Man,ok,42,42
Saakar Byahut,USC,Saakar Byahut.jpg,35.75616837,ok,3.793103448,Engineering,4.3,3.7,88.9,26,2021,,Man,ok,31,31
