name,image_url,local_path,group
Dicky Bahto,https://www.art.ucla.edu/assets/uploads/lecturers/Dicky-Bahto.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Dicky_Bahto.jpg,UCLA Art Faculty Page
Jenny Calivas,https://www.art.ucla.edu/assets/uploads/lecturers/Jenny-Calivas.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Jenny_Calivas.jpg,UCLA Art Faculty Page
Corina Copp,https://www.art.ucla.edu/assets/uploads/lecturers/corina-copp.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Corina_Copp.jpg,UCLA Art Faculty Page
Kim Fisher,https://www.art.ucla.edu/assets/uploads/lecturers/kim-fisher.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Kim_Fisher.jpg,UCLA Art Faculty Page
Johanna Hedva,https://www.art.ucla.edu/assets/uploads/lecturers/Johanna-Hedva.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Johanna_Hedva.jpg,UCLA Art Faculty Page
Grant Johnson,https://www.art.ucla.edu/assets/uploads/lecturers/Grant-Johnson.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Grant_Johnson.jpg,UCLA Art Faculty Page
Siri Sahaj Kaur,https://www.art.ucla.edu/assets/uploads/lecturers/siri-kaur.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Siri_Sahaj_Kaur.jpg,UCLA Art Faculty Page
Laub,https://www.art.ucla.edu/assets/uploads/lecturers/laub.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Laub.jpg,UCLA Art Faculty Page
Matt Lipps,https://www.art.ucla.edu/assets/uploads/lecturers/matt-lipps.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Matt_Lipps.jpg,UCLA Art Faculty Page
Harold Mendez,https://www.art.ucla.edu/assets/uploads/lecturers/Harold-Mendez.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Harold_Mendez.jpg,UCLA Art Faculty Page
Kristen Morgin,https://www.art.ucla.edu/assets/uploads/lecturers/kristen-morgin2.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Kristen_Morgin.jpg,UCLA Art Faculty Page
Alex Olson,https://www.art.ucla.edu/assets/uploads/lecturers/alex-olson.jpg,/content/drive/MyDrive/prof_photos/ucla_art_faculty_photos/Alex_Olson.jpg,UCLA Art Faculty Page
