school,professor,department,avg_rating,avg_difficulty,would_take_again_percent
Massachusetts Institute of Technology,Adrian Lozano-Duran,Engineering,5.0,4.0,100.0
Massachusetts Institute of Technology,Ahmad Al Bierouti,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Ahmed Ghoniem,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Alan Grodzinsky,Engineering,4.4,3.4000000000000004,100.0
Massachusetts Institute of Technology,Alessandro Golkar,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Alexie Kolpak,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Ali Jadbabaie,Engineering,1.0,5.0,0.0
Massachusetts Institute of Technology,Amos Winter,Engineering,4.0,4.0,100.0
Massachusetts Institute of Technology,Anant Agarwal,Engineering,4.3,2.3000000000000003,100.0
Massachusetts Institute of Technology,Andrew Whittle,Engineering,3.5,3.4000000000000004,66.7
Massachusetts Institute of Technology,Antonio Martins,Engineering,2.5,1.5,50.0
Massachusetts Institute of Technology,Areg Danagoulian,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Ascher Shapiro,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Asuman Ozdaglar,Engineering,2.0,4.4,33.300000000000004
Massachusetts Institute of Technology,Bassam Kassab,Engineering,5.0,2.0,-1.0
Massachusetts Institute of Technology,Ben Sawyer,Engineering,4.3,3.7,100.0
Massachusetts Institute of Technology,Bilge Yildiz,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Bryan Reimer,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Carlos Portela,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Charles Cooney,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Charles Mcvinney,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Charles Sodini,Engineering,2.0,3.7,0.0
Massachusetts Institute of Technology,Christina Delimitrou,Electrical Engineering & Computer Science,0.0,0.0,-1.0
Massachusetts Institute of Technology,Christopher Weaver,Engineering,4.800000000000001,3.8,-1.0
Massachusetts Institute of Technology,Clark Colton,Engineering,1.9,4.2,-1.0
Massachusetts Institute of Technology,Cullen Buie,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Daniel Sanchez,Engineering,5.0,3.1,100.0
Massachusetts Institute of Technology,Darrell Irvine,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,David Miller,Engineering,5.0,2.0,-1.0
Massachusetts Institute of Technology,David Perreault,Engineering,5.0,4.0,100.0
Massachusetts Institute of Technology,David Trumper,Engineering,3.0,4.0,0.0
Massachusetts Institute of Technology,Donald Sadoway,Engineering,4.0,2.5,50.0
Massachusetts Institute of Technology,Eduardo Kausel,Engineering,3.0,2.0,0.0
Massachusetts Institute of Technology,Edward Crawley,Engineering,2.2,3.0,0.0
Massachusetts Institute of Technology,Elfatih Eltahir,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Erik Demaine,Engineering,3.6,2.8000000000000003,66.7
Massachusetts Institute of Technology,Eytan Modiano,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Franz Hover,Engineering,3.5,4.5,50.0
Massachusetts Institute of Technology,Gaurav Raghav,Engineering,5.0,3.5,100.0
Massachusetts Institute of Technology,George Apostolakis,Engineering,2.9000000000000004,3.4000000000000004,100.0
Massachusetts Institute of Technology,George Barbastathis,Engineering,2.5,3.0,-1.0
Massachusetts Institute of Technology,Guy Bresler,Engineering,5.0,3.0,100.0
Massachusetts Institute of Technology,Hae-Seung Lee,Engineering,4.0,5.0,100.0
Massachusetts Institute of Technology,Heather Kulik,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Herbert Sawin,Engineering,4.0,3.5,100.0
Massachusetts Institute of Technology,Ian Hunter,Engineering,2.5,3.0,0.0
Massachusetts Institute of Technology,James Rice,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Jeff Colner,Engineering,4.5,4.0,100.0
Massachusetts Institute of Technology,Jessika Trancik,Engineering,5.0,1.0,100.0
Massachusetts Institute of Technology,Jesus Alamo,Engineering,3.7,3.1,100.0
Massachusetts Institute of Technology,Jinhua Zhao,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Joe Steinmeyer,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Joel Voldman,Engineering,3.3000000000000003,4.0,0.0
Massachusetts Institute of Technology,John Brisson,Engineering,5.0,5.0,-1.0
Massachusetts Institute of Technology,John Hansman,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,John Tsitsiklis,Engineering,4.5,3.3000000000000003,100.0
Massachusetts Institute of Technology,John Williams,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Jonathan Byrnes,Engineering,4.7,2.7,-1.0
Massachusetts Institute of Technology,Jonathan How,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Joseph Sussman,Engineering,3.0,2.0,100.0
Massachusetts Institute of Technology,Kamal Youcef-Toumi,Engineering,2.0,3.5,0.0
Massachusetts Institute of Technology,Kenneth Stevens,Engineering,3.8,2.0,-1.0
Massachusetts Institute of Technology,Kord Smith,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Krystyn Van Vliet,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,L. Rafael Reif,Engineering,4.7,3.7,100.0
Massachusetts Institute of Technology,Lallit Anand,Engineering,5.0,4.0,100.0
Massachusetts Institute of Technology,Lex Fridman,Engineering,5.0,1.5,100.0
Massachusetts Institute of Technology,Linda Griffith,Engineering,2.4000000000000004,3.5,-1.0
Massachusetts Institute of Technology,Lizhong Zheng,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Lydia Bourouiba,Engineering,2.4000000000000004,3.0,40.0
Massachusetts Institute of Technology,Manolis Kellis,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Mark Drela,Engineering,5.0,3.0,-1.0
Massachusetts Institute of Technology,Markus Buehler,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Mary Cummings,Engineering,5.0,4.0,100.0
Massachusetts Institute of Technology,Max Shulaker,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Mengjia Yan,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Michael Birnbaum,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Michael Golay,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Michael Hynes,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Michael Short,Engineering,5.0,3.0,100.0
Massachusetts Institute of Technology,Mike Jones,Engineering,2.0,3.0,-1.0
Massachusetts Institute of Technology,Moe Win,Engineering,4.9,2.7,100.0
Massachusetts Institute of Technology,Muriel Medard,Engineering,3.1,3.9,100.0
Massachusetts Institute of Technology,Nicolas Hadjiconstantinou,Engineering,2.0,4.0,0.0
Massachusetts Institute of Technology,Nikhil Rangala,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Olivier de Weck,Engineering,4.0,2.0,100.0
Massachusetts Institute of Technology,Oral Buyukozturk,Engineering,3.5,2.7,-1.0
Massachusetts Institute of Technology,Pablo Parrilo,Engineering,4.0,3.8,50.0
Massachusetts Institute of Technology,Paul Gray,Engineering,4.4,2.0,-1.0
Massachusetts Institute of Technology,Paul Lagace,Engineering,1.3,3.5,-1.0
Massachusetts Institute of Technology,Philip Hemmer,Engineering,5.0,1.0,100.0
Massachusetts Institute of Technology,Pierce Hayward,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Rafael Gomez-Bombarelli,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Ramesh Raska,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Ramesh Raskar,Engineering,0.0,0.0,-1.0
Massachusetts Institute of Technology,Richard Linares,Engineering,0.0,0.0,-1.0
