name,school_name,local_path
Sean Yamada-Hunter,UCLA,Sean Yamada-Hunter.png
Jason Zhang,UCLA,Jason Zhang.jpg
Alberto Casillas-Trasviña,UCLA,Alberto Casillas-Trasviña.png
Chen Tang,UCLA,Chen Tang.png
Nathan Szymanski,UCLA,Nathan Szymanski.png
Yair Rivenson,UCLA,Yair Rivenson.png
Young-Kai Chen,UCLA,Young-Kai Chen.png
Douglas Lichtman,UCLA,Douglas Lichtman.png
Allen Jiang,UCLA,Allen Jiang.jpg
Pedro de Souza,UCLA,Pedro de Souza.jpg
Chase Linsley,UCLA,Chase Linsley.jpg
Kymora B. Scotland,UCLA,Kymora B. Scotland.png
Mingxia Gu,UCLA,Mingxia Gu.png
Jason Jangho Choi,UCLA,Jason Jangho Choi.jpg
Md Shafayat Hossain,UCLA,Md Shafayat Hossain.png
Yosuke Tanigawa,UCLA,Yosuke Tanigawa.png
Yangruibo (Robin) Ding,UCLA,Yangruibo (Robin) Ding.jpg
J.D. Zamfirescu-Pereira,UCLA,J.D. Zamfirescu-Pereira.jpg
Fang-Yi “Ida” Su,UCLA,Fang-Yi “Ida” Su.jpg
Yongjie Hu,UCLA,Yongjie Hu.jpg
Jonathan Hopkins,UCLA,Jonathan Hopkins.jpg
Youngseo Kim,UCLA,Youngseo Kim.png
Tobias Dürschmid,UCLA,Tobias Dürschmid.jpg
Yue Liu,UCLA,Yue Liu.png
Luca Vialetto,UCLA,Luca Vialetto.png
Tiwei Wei,UCLA,Tiwei Wei.png
Shahriar Talebi,UCLA,Shahriar Talebi.jpg
Tarannom (Tara) Parhizkar,UCLA,Tarannom (Tara) Parhizkar.png
Leo Zhou,UCLA,Leo Zhou.jpg
Liz Izhikevich,UCLA,Liz Izhikevich.jpg
Yuzhe Yang,UCLA,Yuzhe Yang.png
Lianmin Zheng,UCLA,Lianmin Zheng.jpeg
Ying Sheng,UCLA,Ying Sheng.png
Sandra Batista,UCLA,Sandra Batista.png
Hanrui Wang,UCLA,Hanrui Wang.jpeg
Konstantinos Kallas,UCLA,Konstantinos Kallas.jpg
Yuchen Cui,UCLA,Yuchen Cui.jpg
Prineha Narang,UCLA,Prineha Narang.jpg
Kyle Yoshida,UCLA,Kyle Yoshida.jpg
Jason Moore,UCLA,Jason Moore.png
Anne Andrews,UCLA,Anne Andrews.png
Greg D. Field,UCLA,Greg D. Field.png
Lili Yang,UCLA,Lili Yang.png
Vatsa Gandhi,UCLA,Vatsa Gandhi.png
Aaron Moment,UCLA,Aaron Moment.png
Anya Jones,UCLA,Anya Jones.jpg
Shantanu Joshi,UCLA,Shantanu Joshi.png
