avg_difficulty,avg_rating,dept,local_path,name,pred_score_1_5,pred_score_raw,professor,school,would_take_again_percent
4.1000000000000005,3.4000000000000004,Computer Science,Marshall_Ball.jpg,Marshall Ball,5.0,18.99784469604492,Marshall Ball,NYU,72.7
3.0,4.0,Computer Science,Nir_Bitansky.png,Nir Bitansky,5.0,31.206016540527344,Nir Bitansky,NYU,100.0
4.2,4.2,Computer Science,Joseph_Bonneau.jpg,Joseph Bonneau,5.0,16.48311996459961,Joseph Bonneau,NYU,84.60000000000001
4.1000000000000005,2.8000000000000003,Computer Science,Sumit_Chopra.jpg,Sumit Chopra,5.0,24.31583023071289,Sumit Chopra,NYU,45.5
3.4000000000000004,3.5,Computer Science,Rumi_Chunara.png,Rumi Chunara,5.0,28.5113582611084,Rumi Chunara,NYU,83.30000000000001
3.6,4.1000000000000005,Computer Science,Patrick_Cousot.jpg,Patrick Cousot,5.0,11.477355003356934,Patrick Cousot,NYU,100.0
3.1,3.8,Computer Science,Ernest_Davis.jpg,Ernest Davis,5.0,18.48202133178711,Ernest Davis,NYU,71.4
4.4,2.2,Computer Science,Yevgeniy_Dodis.jpg,Yevgeniy Dodis,5.0,13.29360294342041,Yevgeniy Dodis,NYU,10.0
3.6,3.6,Computer Science,Rob_Fergus.jpg,Rob Fergus,5.0,16.113332748413086,Rob Fergus,NYU,80.0
2.4000000000000004,2.1,Computer Science,Davi_Geiger.jpg,Davi Geiger,5.0,19.047889709472656,Davi Geiger,NYU,30.0
3.9,2.1,Computer Science,He_He.jpg,He He,5.0,15.812235832214355,He He,NYU,23.1
4.0,4.0,Computer Science,Pavel_Izmailov.jpeg,Pavel Izmailov,5.0,29.18268585205078,Pavel Izmailov,NYU,100.0
2.3000000000000003,4.9,Computer Science,Subhash_Khot.jpg,Subhash Khot,5.0,19.823421478271484,Subhash Khot,NYU,100.0
3.8,2.0,Computer Science,Yann_LeCun.jpg,Yann LeCun,5.0,13.714365005493164,Yann Lecun,NYU,33.300000000000004
4.5,3.1,Computer Science,Jinyang_Li.jpg,Jinyang Li,5.0,19.656925201416016,Jinyang LI,NYU,46.400000000000006
3.8,4.2,Computer Science,Mehryar_Mohri.jpg,Mehryar Mohri,5.0,18.470064163208008,Mehryar Mohri,NYU,72.7
4.2,2.7,Computer Science,Aurojit_Panda.jpg,Aurojit Panda,5.0,15.130729675292969,Aurojit Panda,NYU,40.0
4.2,4.4,Computer Science,Daniele_Panozzo.jpg,Daniele Panozzo,5.0,18.114965438842773,Daniele Panozzo,NYU,77.80000000000001
4.1000000000000005,3.8,Computer Science,Benjamin_Peherstorfer.jpg,Benjamin Peherstorfer,5.0,16.84031105041504,Benjamin Peherstorfer,NYU,76.9
3.6,3.2,Computer Science,Kenneth_Perlin.jpg,Kenneth Perlin,5.0,13.765979766845703,Kenneth Perlin,NYU,58.3
