name,profile_url,image_url,local_path
Film & TV,,https://tisch.nyu.edu/content/dam/tisch/Homepage/kanbar-thumb_sml.jpg.preset.three-two.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Film_TV.jpeg
High School Programs,,https://tisch.nyu.edu/content/dam/tisch/special-programs/high_school_programs_menu_image.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/High_School_Programs.jpeg
New York City,,https://tisch.nyu.edu/content/dam/tisch/special-programs/jterm_spring_summer_menu_image2.jpg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/New_York_City.jpg
Film Production Lights,,https://tisch.nyu.edu/content/dam/tisch/special-programs/lights-pro-course.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Film_Production_Lights.jpeg
Acting Class,,https://tisch.nyu.edu/content/dam/tisch/special-programs/special_programs_menu_image2.jpg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Acting_Class.jpg
Tisch Graduate,,https://tisch.nyu.edu/content/dam/tisch/shared/student-affairs-thumb.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Tisch_Graduate.jpeg
Art collage,,https://tisch.nyu.edu/content/dam/tisch/CreativeResearch/TCRCollage102023.png.preset.two-one-460.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Art_collage.jpeg
Gwendolyn Alker,https://tisch.nyu.edu/about/directory/drama/98063881,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/G_Alker.jpeg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Gwendolyn_Alker.jpeg
Awam Amkpa,https://tisch.nyu.edu/about/directory/drama/92524863,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/Drama_Amkpa.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Awam_Amkpa.jpeg
Andy Arden-Reese,https://tisch.nyu.edu/about/directory/drama/1439709003,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/Drama_Reese.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Andy_Arden-Reese.jpeg
Mark Bennett,https://tisch.nyu.edu/about/directory/drama/1082368600,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/Mark-Bennett.jpeg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Mark_Bennett.jpeg
Sebastián Calderón Bentin,https://tisch.nyu.edu/about/directory/drama/109727724,https://tisch.nyu.edu/content/dam/tisch/drama/faculty/S_Calderon_Bentin_0276.jpg.preset.square.jpeg,/content/drive/MyDrive/prof_photos/nyu_tisch_drama_ft/Sebasti_n_Calder_n_Bentin.jpeg
